Pm,ΔH,ΔS,Ω,ρ,e/a,EWF,α,HD,B,G,ad-e/n,ad-r,ad-α,ad-HD,ad-G,δ-VEC,δ-e/n,δ-Tm,δ-ρ,δ-χ,δ-e/a,δ-Ec,δ-EWF,δ-ABE,δ-SLHF,δ-α,δ-HD,δ-G,δ-υ,δ-G/B,Phase
2,-14.514,14.5336,1.7872,7.284,1.9,4.691,12.4,119.1,161.5,69.17,0.0502,6.3936,3.16,65.92,28.676,0.3186,0.1938,0.1833,0.2733,0.0743,0.2834,0.0831,0.0693,0.1721,0.2471,0.3726,0.6484,0.4609,0.2203,0.4289,BCC+FCC
2,-4.0872,12.8122,5.2015,7.6702,1.7719,4.7274,13.6526,75.5264,155.7563,75.4632,0.0489,4.0086,3.5125,31.2097,21.2447,0.3129,0.1711,0.2206,0.2576,0.0649,0.3665,0.1021,0.069,0.1838,0.2415,0.3601,0.5317,0.3498,0.1494,0.2606,BCC+FCC
1,-8.2163,12.4922,2.6901,7.7202,1.9,4.6617,12.9945,138.075,161.322,82.3085,0.0364,4.331,3.0063,80.3748,10.2548,0.2455,0.1522,0.148,0.1878,0.0733,0.2294,0.1155,0.0787,0.1694,0.1827,0.3516,0.9224,0.244,0.1473,0.2256,IM
2,-7.8669,8.7653,1.7067,7.3489,2.0781,4.2977,19.8016,381.4844,134.4609,71.9297,0.0207,4.0304,3.2039,162.959,11.603,0.2128,0.1018,0.1331,0.1965,0.0836,0.1291,0.1843,0.0824,0.2467,0.1575,0.1938,0.4794,0.2253,0.1858,0.2405,BCC+FCC
2,-10.6152,14.7843,2.5191,7.4631,1.6923,4.6608,11.8615,107.3845,157.146,61.823,0.064,7.4009,2.5278,57.9171,28.8402,0.328,0.2466,0.1329,0.2326,0.0841,0.2727,0.0989,0.0636,0.1465,0.2012,0.2675,0.6511,0.5121,0.208,0.4729,FCC
2,-19.1702,13.8692,1.1152,5.9743,2.2143,4.5736,15.6,89.3571,138.0142,57.75,0.0506,9.2996,5.7143,64.2653,30.2714,0.4552,0.2003,0.3074,0.4466,0.0771,0.3043,0.1236,0.0725,0.2624,0.3628,0.4097,0.9003,0.5617,0.185,0.3828,IM
2,-10.395,11.0548,1.8063,7.245,2,4.68,13.3333,89.1666,156.7666,78.85,0.0409,5.1956,3.4222,40.8333,16.55,0.3243,0.1596,0.2209,0.2929,0.065,0.2887,0.0869,0.0729,0.1899,0.2575,0.3885,0.5431,0.3187,0.1333,0.2188,BCC+FCC
4,-8.5895,13.381,3.6073,7.676,1.4,4.446,8.12,122,175.98,76.82,0.0624,8.2824,2.304,54.4,35.696,0.2287,0.3432,0.1871,0.2451,0.1269,0.3499,0.2547,0.0255,0.1563,0.2009,0.3084,0.5063,0.5135,0.2252,0.4451,IM
1,0.5667,14.6974,66.3136,9.9391,1.7273,4.2055,7.0273,123.2727,153.1818,44.4091,0.0374,7.4473,1.2529,47.2066,23.395,0.1442,0.4032,0.1825,0.4287,0.1529,0.2578,0.1621,0.0477,0.2271,0.2488,0.2295,0.4279,0.6826,0.0959,0.3386,BCC
1,1.6146,11.5256,17.605,10.2425,2,4.1325,7.2,120.75,134.25,35.325,0.0402,7.2125,1.5,40.75,16.8875,0.1019,0.4839,0.2098,0.4822,0.0734,0,0.1799,0.0408,0.2324,0.1836,0.2432,0.3635,0.5606,0.0778,0.295,BCC
