Pm,ΔS,EWF,ad-e/n,δ-VEC,δ-EWF,δ-G,δ-G/B,Phase
3,14.4284,4.595,0.1196,0.3616,0.0885,0.6047,0.3991,IM
3,13.4171,4.527,0.0965,0.3577,0.0873,0.6822,0.3808,IM
2,13.8401,4.5975,0.1145,0.328,0.0753,0.7322,0.4235,IM
2,13.6225,4.6075,0.1143,0.319,0.0781,0.7134,0.4732,IM
3,13.4459,4.5725,0.1115,0.3333,0.0787,0.6168,0.3933,IM
3,14.5697,4.717,0.0906,0.2667,0.0618,0.545,0.3741,IM
3,14.2109,4.51,0.0922,0.3566,0.0827,0.5788,0.3598,IM
3,14.6747,4.5385,0.1003,0.3652,0.0933,0.6147,0.3807,IM
3,14.6747,4.601,0.1015,0.3564,0.0906,0.5813,0.3729,IM
2,14.5697,4.471,0.1009,0.3679,0.0939,0.6276,0.3893,IM
2,14.6747,4.501,0.0999,0.3518,0.0886,0.5965,0.3873,IM
2,14.4284,4.5445,0.1005,0.3423,0.0905,0.6089,0.3827,IM
3,14.6747,4.5805,0.1085,0.3302,0.0936,0.5547,0.3672,IM
3,14.0696,4.5235,0.0975,0.3496,0.0892,0.6564,0.4073,IM
2,14.4284,4.5645,0.1045,0.3438,0.0927,0.6163,0.3955,IM
4,14.3234,4.5995,0.1006,0.3275,0.0858,0.5972,0.3918,IM
3,14.3809,4.6475,0.1176,0.2674,0.0837,0.5695,0.3698,IM
3,14.3234,4.6,0.1144,0.3296,0.0907,0.5779,0.4272,IM
1,13.4171,4.669,0.0458,0.2486,0.0778,0.2993,0.3096,BCC+FCC
1,13.8809,4.7195,0.0486,0.2623,0.0823,0.375,0.3852,BCC+FCC
1,13.6634,4.768,0.0476,0.2497,0.082,0.3706,0.4114,BCC+FCC
1,12.8287,4.6155,0.0446,0.2404,0.0684,0.3697,0.4041,BCC+FCC
3,14.4284,4.52,0.1201,0.3034,0.0912,0.582,0.3756,IM
3,14.1821,4.555,0.1191,0.2943,0.0926,0.5826,0.3833,IM
3,13.6225,4.582,0.1008,0.3128,0.082,0.6756,0.4253,IM
3,13.6225,4.542,0.1061,0.327,0.0889,0.6817,0.4273,IM
3,13.9646,4.4945,0.0893,0.3395,0.0779,0.7159,0.4669,IM
2,14.4284,4.4675,0.0771,0.3343,0.0763,0.668,0.3953,IM
2,14.0984,4.513,0.0946,0.3217,0.0874,0.6204,0.3866,IM
3,13.4171,4.5085,0.0827,0.3325,0.0816,0.6971,0.4221,IM
3,13.8401,4.54,0.1156,0.2989,0.0895,0.6732,0.4101,IM
2,13.6225,4.535,0.1182,0.2963,0.0896,0.6615,0.4134,IM
3,13.7759,4.5275,0.0864,0.2916,0.0826,0.5877,0.3552,IM
2,13.7638,4.5725,0.0964,0.2784,0.083,0.5825,0.3802,IM
2,13.4813,4.57,0.1029,0.2989,0.0799,0.6047,0.4315,IM
3,13.6634,4.53,0.1108,0.2785,0.081,0.6292,0.4361,IM
3,14.1058,4.622,0.1023,0.3472,0.0902,0.6186,0.3887,IM
2,14.4284,4.5805,0.1125,0.3535,0.0983,0.5807,0.362,IM
3,14.0984,4.616,0.101,0.3468,0.085,0.6162,0.3893,IM
2,14.2109,4.47,0.0706,0.3725,0.0855,0.6317,0.3403,IM
2,14.5697,4.5095,0.0779,0.3446,0.0855,0.6089,0.3431,IM
2,14.0696,4.5035,0.0867,0.3601,0.0908,0.6796,0.3767,IM
2,14.4284,4.566,0.0889,0.3601,0.0893,0.6481,0.3811,IM
2,14.2109,4.5825,0.088,0.3468,0.0893,0.6042,0.3726,IM
3,13.9646,4.57,0.094,0.3353,0.0871,0.6773,0.4274,IM
2,13.9646,4.595,0.0834,0.3156,0.0809,0.6135,0.3823,IM
3,14.2109,4.585,0.1154,0.3567,0.0953,0.579,0.4055,IM
3,14.4284,4.565,0.0962,0.3318,0.0863,0.5886,0.3893,IM
2,14.4284,4.5625,0.1019,0.3318,0.0868,0.5785,0.3885,IM
3,14.1821,4.58,0.0985,0.3256,0.085,0.5909,0.3964,IM
2,13.8809,4.555,0.1006,0.3233,0.0847,0.5986,0.397,IM
3,13.8809,4.6025,0.0951,0.3273,0.0865,0.6066,0.4048,IM
2,13.9646,4.4665,0.0837,0.3256,0.0804,0.678,0.4194,IM
4,13.9813,4.555,0.1017,0.2979,0.0851,0.6769,0.3867,IM
4,13.9813,4.575,0.0959,0.2876,0.0793,0.657,0.3808,IM
2,13.5221,4.61,0.1017,0.2845,0.0799,0.6652,0.3952,IM
3,13.5008,4.475,0.0852,0.3024,0.0841,0.5912,0.3381,IM
2,13.2283,4.1715,0.0413,0.234,0.0615,0.4053,0.2238,BCC
2,12.3408,4.2315,0.0413,0.2131,0.0557,0.3657,0.2213,BCC
1,13.3763,4.693,0.0463,0.2439,0.0777,0.3052,0.2753,BCC+FCC
1,13.8401,4.6855,0.0485,0.2604,0.0783,0.3175,0.3018,BCC+FCC
2,14.5697,4.4745,0.104,0.429,0.0857,0.6104,0.4984,IM
2,13.9646,4.4835,0.0928,0.3997,0.1009,0.5977,0.422,IM
2,14.6747,4.506,0.109,0.3962,0.0904,0.5647,0.3251,IM
4,14.6747,4.4735,0.1063,0.3895,0.0849,0.5647,0.3286,IM
1,13.0175,4.6205,0.0472,0.2575,0.0644,0.3167,0.2534,BCC+FCC
2,14.0696,4.534,0.1211,0.4055,0.0849,0.5906,0.348,IM
3,14.2397,4.474,0.0965,0.4522,0.0923,0.7013,0.3826,IM
3,14.0696,4.571,0.1149,0.4088,0.0816,0.606,0.3194,IM
2,13.1587,4.124,0.0399,0.3281,0.0469,0.4929,0.28,BCC
4,12.8287,4.1965,0.0366,0.3077,0.0417,0.4446,0.2695,BCC
3,14.1058,4.472,0.098,0.3959,0.1017,0.5869,0.3411,IM
3,14.6747,4.471,0.0912,0.3769,0.0914,0.5607,0.3282,IM
2,14.3159,4.481,0.0962,0.3702,0.0908,0.5484,0.3294,IM
2,13.8809,4.484,0.0841,0.3662,0.0772,0.6102,0.3765,IM
2,12.2116,4.1515,0.0426,0.1915,0.0479,0.4109,0.2589,BCC
2,12.8046,4.133,0.0417,0.2069,0.0427,0.4859,0.3245,BCC
3,13.1708,4.13,0.0383,0.1992,0.0434,0.4842,0.317,BCC
3,14.3234,4.497,0.0794,0.3928,0.0937,0.582,0.3307,IM
2,12.8287,4.152,0.0381,0.1325,0.0512,0.6,0.2571,BCC
2,13.2638,4.2155,0.0423,0.1316,0.0439,0.6764,0.2896,BCC
2,13.4171,4.175,0.0429,0.1231,0.0469,0.529,0.2597,BCC
4,14.0696,4.159,0.038,0.1093,0.0382,0.4449,0.2609,BCC
2,13.7759,4.1365,0.04,0.1111,0.0426,0.4068,0.2264,BCC
4,13.4171,4.194,0.0464,0.0975,0.0375,0.3628,0.2122,BCC
3,13.2638,4.174,0.0331,0.1065,0.0387,0.4067,0.2371,BCC
2,13.6225,4.188,0.04,0.1111,0.0319,0.4798,0.2921,BCC
4,13.3763,4.1905,0.0386,0.1111,0.0322,0.4539,0.2767,BCC
4,14.1821,4.168,0.0436,0.1093,0.0411,0.409,0.2291,BCC
4,13.9813,4.218,0.0394,0.1026,0.0328,0.3861,0.2388,BCC
2,13.3763,4.218,0.0408,0.0975,0.0345,0.3697,0.2217,BCC
4,13.6225,4.1245,0.0467,0.1096,0.0453,0.3703,0.202,BCC
3,14.5697,4.1895,0.0444,0.1111,0.0375,0.4153,0.2446,BCC
3,13.9646,4.215,0.0461,0.1118,0.0349,0.4007,0.2348,BCC
2,13.9934,4.2265,0.0452,0.1118,0.0339,0.4307,0.241,BCC
4,13.4171,4.2415,0.0416,0.1111,0.0286,0.4726,0.2692,BCC
