Pm,Ω,e/a,EWF,G,ad-e/n,ad-G,δ-e/n,δ-ρ,Phase
3,13.397,1.5455,4.2691,54.3364,0.0327,37.8347,0.3325,0.3332,BCC
1,65.1759,1.875,4.8019,61.9688,0.0276,20.3813,0.1099,0.1815,FCC
1,2.2939,1.5291,4.6849,73.4306,0.0686,29.1087,0.3059,0.0926,IM
3,1.9532,2,4.7697,72.1836,0.0436,24.5138,0.1617,0.2946,BCC+FCC
1,1.7746,2,4.5511,77.1999,0.0415,21.3334,0.1641,0.333,BCC+FCC
1,1.8163,1.9524,4.6676,68.3952,0.0517,28.1959,0.2082,0.3149,IM
3,33.6372,1.5455,4.2418,46.8273,0.0311,27.9537,0.3335,0.3347,BCC
3,1.7617,2.08,4.8186,63.5908,0.0422,26.3,0.1559,0.3084,BCC+FCC
3,10.6116,1.7,4.229,32.11,0.0323,12.792,0.2994,0.4547,BCC
3,6.0921,1.7826,4.5696,70.0913,0.0522,27.6881,0.1938,0.3362,IM
3,2.65,1.9168,4.6634,75.2265,0.0526,26.9577,0.2158,0.3052,IM
4,1.6634,1.2604,4.4823,48.7397,0.1008,11.6715,0.5372,0.0305,IM
1,1.8063,2,4.68,78.85,0.0409,16.55,0.1596,0.2929,BCC+FCC
1,3.0807,1.9129,4.3592,62.9052,0.0209,22.8196,0.1602,0.2588,BCC
4,9.3909,1.8002,4.6429,81.5035,0.0345,14.7984,0.1723,0.0944,IM
1,118.8142,1.6667,4.5722,84.6332,0.0379,13.274,0.1462,0.088,FCC
3,1.6263,2.15,4.457,72.77,0.0311,13.071,0.1313,0.2715,IM
3,10.4722,1.5,4.3625,70.95,0.0425,26.375,0.3879,0.3757,BCC
3,12.9463,1.5556,4.3178,51.7,0.032,32,0.2616,0.284,BCC
1,1.9128,1.8333,4.63,65.4668,0.0582,27.6001,0.2296,0.2149,IM
3,2.5824,2,4.75,67.2,0.029,17.8667,0.0997,0.0789,FCC
3,4.3005,1.7945,4.6138,64.5673,0.057,23.4288,0.2098,0.2287,BCC
3,121.2265,1.8571,4.2257,30.7762,0.0471,10.2349,0.3397,0.3867,BCC
2,5.0327,1.81,4.6325,78.0398,0.0359,17.1311,0.1382,0.1011,IM
1,3.8871,1.8462,4.7,77.8076,0.0394,15.8036,0.1497,0.1098,FCC
3,1.8201,1.9,4.275,34.03,0.0473,11.256,0.3397,0.5836,BCC
3,3.7589,1.9,4.249,35.102,0.048,14.4624,0.3727,0.5771,IM
3,3.1138,1.8333,4.7146,73.7417,0.0696,23.8264,0.278,0.1606,IM
1,6.2766,1.6,4.75,88.66,0.0654,24.352,0.2748,0.1198,IM
3,1.487,2,4.172,28.5,0.0546,5.64,0.4468,0.514,IM
1,2.133,1.7368,4.7137,71.8999,0.0561,26.7368,0.2316,0.1686,IM
1,4.0317,1.8679,4.7045,77.332,0.0299,19.3856,0.1282,0.1797,FCC
1,12.1139,1.7037,4.7522,78.0333,0.0463,18.6173,0.1603,0.2057,BCC+FCC
1,1.6744,2.0926,4.3343,70.8057,0.0237,13.3354,0.1094,0.2144,BCC+FCC
1,1.7068,2.0781,4.2977,71.9297,0.0207,11.603,0.1018,0.1965,BCC+FCC
3,5.9579,1.7826,4.7454,74.4674,0.0385,24.2599,0.1475,0.1945,FCC
1,2.1943,1.8333,4.7692,73.2334,0.0507,23.1555,0.1947,0.1709,IM
1,1.8981,2.037,4.1937,75.1222,0.0108,5.9737,0.0728,0.1344,BCC
3,5.0123,1.4,4.44,82.14,0.0604,29.568,0.3291,0.1724,IM
3,7.7435,1.5,4.321,58.98,0.0512,37.176,0.3908,0.4144,IM
1,1.1152,2.2143,4.5736,57.75,0.0506,30.2714,0.2003,0.4466,IM
3,3.8682,1.8095,4.7633,77.4857,0.0353,22.2585,0.1381,0.1717,IM
3,24.2572,1.9474,4.2179,29.6895,0.048,9.7108,0.3434,0.4064,BCC
3,5.5397,1.6,4.55,72.34,0.037,22.792,0.1432,0.088,BCC+FCC
1,0.8252,2.6429,4.425,43.6859,0.0337,21.1634,0.167,0.5888,BCC+FCC
4,6.6174,1.8076,4.823,74.0197,0.03,23.2662,0.1158,0.0819,FCC
3,1.9715,2.04,4.576,69.456,0.0404,25.4003,0.1555,0.3197,BCC
3,8.3956,1.6667,4.1767,31.2333,0.0428,6.5778,0.4303,0.4083,BCC
1,2.8048,1.8333,4.6717,78.7502,0.0624,29.3,0.2664,0.3141,IM
1,6.5828,1.7931,4.6938,67.2863,0.0457,26.6695,0.1689,0.2714,BCC+FCC
3,1.7995,1.7143,4.6614,83.1,0.0515,18,0.2058,0.185,BCC
3,4.6826,1.7059,4.4294,85.6235,0.0495,25.3834,0.2907,0.4348,BCC
1,1.4613,1.7333,4.7573,62.2467,0.0751,27.6764,0.3031,0.1852,BCC+FCC
2,1.751,2.0476,4.6667,67.8286,0.0457,28.8435,0.1676,0.3519,BCC
3,1.7052,2.125,4.4515,71.9077,0.0324,14.416,0.1447,0.2616,IM
3,5.9802,1.4,4.356,64.44,0.0452,43.728,0.331,0.2609,IM
3,1.5649,2,4.2744,34.0667,0.0424,10.163,0.2715,0.3694,IM
2,1.8549,1.8333,4.5683,63.1667,0.0636,29.9,0.2462,0.3474,IM
3,12.985,1.5789,4.3168,51.6053,0.0351,30.3557,0.2703,0.2812,BCC
1,1.9778,1.6667,4.7173,79.7133,0.0539,25.5271,0.2077,0.1865,BCC+FCC
3,1.6767,1.7222,4.6522,81.4389,0.0533,19.3796,0.2139,0.1961,BCC
3,163.7765,1.875,4.145,29.425,0.0502,8.0375,0.4484,0.4205,BCC
3,2.5191,1.8571,4.48,59.1714,0.0512,27.5673,0.2191,0.3179,IM
3,6.0637,1.7619,4.6635,66.8921,0.0509,24.9282,0.1896,0.2282,IM
